Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,hour,minute,Time_period,Is_night,Is_weekend,Accident_severity
Sunday,18-30,Male,High school,Owner,2-5yr,Public (> 45 seats),Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,,,Not a Pedestrian,Changing lane to the left,19,0,Evening,0,1,Slight Injury
Sunday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,,Going straight,,,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Moving Backward,19,40,Evening,0,1,Slight Injury
Sunday,18-30,Male,Junior high school,Employee,1-2yr,Public (> 45 seats),Governmental,Below 1yr,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Driving at high speed,19,40,Evening,0,1,Slight Injury
Saturday,18-30,Male,Above high school,Owner,2-5yr,,Owner,,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,,Going straight,Driver,Normal,Not a Pedestrian,Moving Backward,2,48,Night,1,1,Slight Injury
Sunday,18-30,Male,,,,,Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,,Going straight,,,Not a Pedestrian,No distancing,16,30,Evening,0,1,Slight Injury
Saturday,18-30,Male,Elementary school,Owner,2-5yr,Automobile,Owner,,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,,Moving Backward,,,Not a Pedestrian,Other,22,40,Night,1,1,Slight Injury
Saturday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No priority to vehicle,22,40,Night,1,1,Slight Injury
Thursday,,Male,,Owner,5-10yr,Lorry (41?100Q),Owner,,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the right,8,20,Morning,0,0,Slight Injury
Friday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,Moving Backward,Driver,Normal,Not a Pedestrian,Other,6,47,Morning,0,0,Slight Injury
Friday,31-50,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Organization,,,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,Moving Backward,Driver,Normal,Not a Pedestrian,No distancing,6,47,Morning,0,0,Slight Injury
Friday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Driving carelessly,8,7,Morning,0,0,Slight Injury
Friday,31-50,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),,,, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Turnover,Driver,Normal,Not a Pedestrian,No distancing,8,7,Morning,0,0,Slight Injury
Monday,31-50,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Organization,5-10yrs,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Turnover,,,Not a Pedestrian,Moving Backward,7,45,Morning,0,0,Slight Injury
Monday,31-50,Male,Elementary school,Owner,Above 10yr,Automobile,Owner,Above 10yr,,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,No distancing,7,45,Morning,0,0,Slight Injury
Monday,,Male,Junior high school,Employee,1-2yr,Lorry (11?40Q),Owner,5-10yrs,, Hospital areas,other,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Moving Backward,8,40,Morning,0,0,Slight Injury
Monday,31-50,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,2-5yrs,,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Rollover,Going straight,,,Not a Pedestrian,No priority to pedestrian,19,34,Evening,0,0,Slight Injury
Tuesday,Over 51,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,,,School areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Changing lane to the left,11,14,Afternoon,0,0,Slight Injury
Tuesday,31-50,Male,Junior high school,Employee,2-5yr,,Owner,Above 10yr,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Driver,Normal,Not a Pedestrian,No distancing,11,14,Afternoon,0,0,Slight Injury
Tuesday,31-50,Male,Junior high school,Employee,2-5yr,Long lorry,Owner,5-10yrs,, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Driver,Normal,Not a Pedestrian,Other,18,53,Evening,0,0,Slight Injury
Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Getting off,Driver,Normal,Not a Pedestrian,No distancing,22,30,Night,1,0,Slight Injury
Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Driver,Normal,Not a Pedestrian,No priority to pedestrian,22,30,Night,1,0,Slight Injury
Friday,,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Other,Driver,Normal,Not a Pedestrian,Moving Backward,10,30,Afternoon,0,0,Slight Injury
Wednesday,31-50,Male,Elementary school,Employee,5-10yr,Public (12 seats),Owner,,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No priority to pedestrian,13,29,Afternoon,0,0,Slight Injury
Wednesday,Over 51,Male,,Employee,,,Owner,,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,No distancing,19,23,Evening,0,0,Slight Injury
Wednesday,Over 51,Male,,Employee,2-5yr,Taxi,Governmental,,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No priority to pedestrian,19,23,Evening,0,0,Slight Injury
Wednesday,,Male,Elementary school,Employee,5-10yr,,Owner,,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Driving carelessly,22,49,Night,1,0,Slight Injury
Wednesday,,Female,Junior high school,Employee,5-10yr,Automobile,Owner,,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly,22,49,Night,1,0,Slight Injury
Thursday,31-50,Male,Junior high school,Employee,Above 10yr,,Owner,2-5yrs,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,Going straight,Driver,Normal,Not a Pedestrian,Driving carelessly,22,6,Night,1,0,Slight Injury
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,2-5yrs,, Industrial areas,One way,,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the left,22,6,Night,1,0,Slight Injury
Friday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Going straight,,,Not a Pedestrian,No priority to vehicle,13,30,Afternoon,0,0,Slight Injury
Friday,,Male,Elementary school,Employee,Below 1yr,Automobile,Owner,,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Changing lane to the right,13,30,Afternoon,0,0,Slight Injury
Friday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Governmental,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Unknown or other,Changing lane to the right,22,0,Night,1,0,Slight Injury
Friday,18-30,Male,Elementary school,Employee,1-2yr,Automobile,Governmental,,No defect,,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Driver,Normal,Not a Pedestrian,No distancing,22,0,Night,1,0,Slight Injury
Friday,31-50,Male,Elementary school,Employee,5-10yr,Automobile,Owner,,,Other,,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Going straight,Driver,Normal,Not a Pedestrian,No distancing,17,53,Evening,0,0,Serious Injury
Saturday,Over 51,Male,Elementary school,Employee,5-10yr,Automobile,Owner,,,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,Moving Backward,Driver,Normal,Not a Pedestrian,Changing lane to the left,0,21,Night,1,1,Slight Injury
Friday,31-50,Male,Elementary school,Employee,2-5yr,Taxi,Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,22,25,Night,1,0,Slight Injury
Friday,31-50,Male,Elementary school,Employee,5-10yr,,Owner,5-10yrs,,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,Moving Backward,Self-employed,Normal,Not a Pedestrian,No priority to vehicle,22,25,Night,1,0,Slight Injury
Friday,18-30,Male,,,5-10yr,,Owner,,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,Moving Backward,Driver,Normal,Not a Pedestrian,Changing lane to the left,22,25,Night,1,0,Slight Injury
Friday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,No priority to vehicle,22,25,Night,1,0,Slight Injury
Saturday,,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,,No defect,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,,,Not a Pedestrian,Moving Backward,12,20,Afternoon,0,1,Slight Injury
Saturday,18-30,Male,Elementary school,Employee,Below 1yr,,Owner,,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Turnover,12,20,Afternoon,0,1,Slight Injury
Saturday,31-50,Male,Elementary school,Employee,5-10yr,Automobile,Other,1-2yr,No defect,  Recreational areas,other,Tangent road with flat terrain,No junction,Asphalt roads with some distress,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No distancing,17,44,Evening,0,1,Slight Injury
Saturday,31-50,Male,Elementary school,Owner,5-10yr,Public (12 seats),Owner,5-10yrs,No defect,School areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,,Normal,Not a Pedestrian,No distancing,18,20,Evening,0,1,Slight Injury
Saturday,,Male,Elementary school,Employee,2-5yr,Public (13?45 seats),Owner,,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No distancing,18,20,Evening,0,1,Slight Injury
Saturday,31-50,Male,Elementary school,Employee,Above 10yr,Lorry (11?40Q),Owner,5-10yrs,,Office areas,,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,,Driver,Normal,Not a Pedestrian,Changing lane to the left,22,25,Night,1,1,Slight Injury
Sunday,31-50,Male,Elementary school,Employee,2-5yr,Stationwagen,Owner,2-5yrs,,Residential areas,One way,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,,,Not a Pedestrian,No priority to vehicle,0,40,Night,1,1,Slight Injury
Sunday,18-30,Male,Junior high school,Employee,Above 10yr,Ridden horse,Owner,,No defect,Other,One way,Tangent road with flat terrain,Crossing,Gravel roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Driving at high speed,0,40,Night,1,1,Slight Injury
Sunday,18-30,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,,Driver,Normal,Not a Pedestrian,Overtaking,23,56,Night,1,1,Slight Injury
Sunday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Governmental,1-2yr,No defect, Industrial areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Overtaking,Driver,Normal,Not a Pedestrian,Other,23,56,Night,1,1,Slight Injury
Sunday,18-30,Male,Elementary school,Employee,5-10yr,Automobile,Governmental,1-2yr,No defect, Church areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Driver,Normal,Not a Pedestrian,Changing lane to the left,23,56,Night,1,1,Slight Injury
Sunday,18-30,Male,Elementary school,Employee,5-10yr,Other,Organization,1-2yr,No defect,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No priority to pedestrian,23,56,Night,1,1,Slight Injury
Thursday,Over 51,Male,Elementary school,Employee,1-2yr,Taxi,Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Other,Driver,Normal,Not a Pedestrian,Changing lane to the left,7,45,Morning,0,0,Slight Injury
Thursday,,Male,Elementary school,Employee,,Automobile,Owner,,,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Driver,Normal,Not a Pedestrian,No distancing,7,45,Morning,0,0,Slight Injury
Friday,31-50,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,2-5yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Moving Backward,0,35,Night,1,0,Slight Injury
Friday,31-50,,,Employee,5-10yr,Automobile,Owner,,,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Driver,Normal,Not a Pedestrian,Changing lane to the left,0,35,Night,1,0,Slight Injury
Monday,18-30,Male,Elementary school,Owner,1-2yr,Public (12 seats),Owner,,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,Moving Backward,Driver,Normal,Not a Pedestrian,Other,19,30,Evening,0,0,Slight Injury
Monday,31-50,Male,Junior high school,Employee,5-10yr,,Owner,Above 10yr,No defect, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No distancing,19,30,Evening,0,0,Slight Injury
Monday,Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Owner,,No defect,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Moving Backward,14,24,Afternoon,0,0,Slight Injury
Monday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Self-employed,Normal,Not a Pedestrian,No distancing,18,10,Evening,0,0,Slight Injury
Monday,31-50,Male,Junior high school,Employee,5-10yr,,Owner,5-10yrs,,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,18,10,Evening,0,0,Slight Injury
Friday,18-30,Male,Junior high school,Owner,Below 1yr,Public (> 45 seats),Owner,1-2yr,No defect,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Getting off,Driver,Normal,Not a Pedestrian,Changing lane to the left,10,4,Afternoon,0,0,Slight Injury
Friday,18-30,Male,High school,Employee,Below 1yr,,Owner,,,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No priority to pedestrian,10,4,Afternoon,0,0,Slight Injury
Friday,18-30,Male,Junior high school,Employee,,Public (12 seats),,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,10,4,Afternoon,0,0,Slight Injury
Friday,,Male,Junior high school,Employee,Below 1yr,Public (12 seats),Governmental,Below 1yr,No defect,Residential areas,other,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Self-employed,Normal,Crossing from driver's nearside,Driving carelessly,10,4,Afternoon,0,0,Slight Injury
Tuesday,Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Driving carelessly,14,18,Afternoon,0,0,Slight Injury
Tuesday,31-50,Male,Junior high school,Employee,2-5yr,,Owner,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Employee,Normal,Not a Pedestrian,No priority to pedestrian,7,20,Morning,0,0,Serious Injury
Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Getting off the vehicle improperly,23,40,Night,1,0,Slight Injury
Wednesday,31-50,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,No distancing,20,14,Night,1,0,Serious Injury
Wednesday,Over 51,Male,,Owner,5-10yr,Public (12 seats),Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Changing lane to the left,19,33,Evening,0,0,Slight Injury
Wednesday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (11?40Q),Owner,2-5yrs,,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,Moving Backward,Driver,Normal,Not a Pedestrian,No priority to vehicle,19,33,Evening,0,0,Slight Injury
Wednesday,31-50,Male,Junior high school,Owner,5-10yr,Automobile,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No distancing,19,10,Evening,0,0,Slight Injury
Thursday,,Female,Illiterate,Employee,2-5yr,Automobile,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No priority to pedestrian,16,15,Evening,0,0,Slight Injury
Thursday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Governmental,,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Driver,Normal,Not a Pedestrian,No priority to pedestrian,19,26,Evening,0,0,Slight Injury
Thursday,18-30,Male,Junior high school,Employee,Below 1yr,Bajaj,Owner,1-2yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Driver,Normal,Not a Pedestrian,No priority to vehicle,19,26,Evening,0,0,Slight Injury
Thursday,Under 18,Male,Junior high school,Employee,1-2yr,Public (12 seats),Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Self-employed,Normal,Not a Pedestrian,Driving carelessly,17,21,Evening,0,0,Slight Injury
Thursday,31-50,Male,Elementary school,Employee,2-5yr,Lorry (11?40Q),Owner,2-5yrs,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,17,21,Evening,0,0,Slight Injury
Thursday,18-30,Male,Elementary school,Employee,2-5yr,,,,,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,9,4,Morning,0,0,Slight Injury
Thursday,31-50,Male,Elementary school,Employee,5-10yr,,Owner,,,Other,,Tangent road with flat terrain,Crossing,Asphalt roads with some distress,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing) - masked by parked or statioNot a Pedestrianry vehicle",Moving Backward,9,39,Morning,0,0,Slight Injury
Thursday,,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Above 10yr,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Driving carelessly,12,10,Afternoon,0,0,Slight Injury
Thursday,31-50,Male,,,,Lorry (11?40Q),Owner,,No defect,Office areas,,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Driving to the left,12,10,Afternoon,0,0,Slight Injury
Friday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Driving to the left,4,54,Night,1,0,Slight Injury
Friday,Over 51,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,,No defect,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,4,54,Night,1,0,Slight Injury
Saturday,31-50,Male,Junior high school,Owner,Above 10yr,Lorry (11?40Q),Owner,Above 10yr,No defect, Church areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the left,12,30,Afternoon,0,1,Slight Injury
Saturday,18-30,Male,Junior high school,Employee,,Stationwagen,Governmental,,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Going straight,,,Not a Pedestrian,Changing lane to the right,12,30,Afternoon,0,1,Slight Injury
Saturday,18-30,Male,Junior high school,Employee,5-10yr,Other,Organization,2-5yrs,,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Other,Driver,Normal,Not a Pedestrian,Driving carelessly,12,30,Afternoon,0,1,Slight Injury
